datetime,caprisk
2021-05-23 01:56:14,0.01
2021-05-23 02:17:44,0.02
2021-05-23 02:43:03,0.01
2021-05-24 09:00:34,0.005
2021-06-02 09:40:52,0.05
2021-06-02 09:41:09,0.005
